;reaction_id;flux_value;classification;y_f;y_r;c_value
265;(S)-3-Hydroxy-3-methylglutaryl-CoA hydro-lyase (trans-3-methylglutaconyl-CoA-forming) [c];0.0;low;1.0;0.0;
266;5,10-methylenetetrahydrofolate:NADP+ oxidoreductase [c];0.0;low;1.0;0.0;
267;[Acyl-carrier-protein] acetyltransferase [c];0.0;low;1.0;0.0;
268;diacylglycerol kinase (n-C18:1) [c];0.0;moderate;0.0;0.0;0.1463420475613635
269;3-Deoxy-D-manno-octulosonate-8-phosphate 8-phosphohydrolase [c];0.0;low;1.0;0.0;
270;L-Aspartate-4-semialdehyde hydro-lyase (adding pyruvate and cyclizing) [c];0.0;low;1.0;0.0;
271;diacylglycerol kinase (n-C16:0) [c];0.0;moderate;0.0;0.0;0.1463420475613635
272;(S)-3-Hydroxydodecanoyl-CoA hydro-lyase [c];0.0;low;1.0;0.0;
273;14-methyl-trans-pentadec-2-enoyl-ACP:NAD+ oxidoreductase (A-specific) [c];0.0;low;1.0;0.0;
274;Gly-Try aminopeptidase [c];0.0;moderate;0.0;0.0;0.4029379144930443
275;4-methyl-3-oxo-pentanoyl-ACP:NADP+ oxidoreductase [c];0.0;low;1.0;0.0;
276;13-methyl-trans-tetra-dec-2-enoyl-ACP:NAD+ oxidoreductase (A-specific) [c];0.0;low;1.0;0.0;
277;Phosphatidylglycerol synthase (n-C18:1) [c];0.0;low;1.0;0.0;
278;Proline dehydrogenase [c];-4.0;high;0.0;1.0;1.1328847608934438
279;Lysophospholipase L2 (2-acylglycerophosphotidate, n-C18:0) [c];0.0;low;1.0;0.0;
280;di-trans,poly-cis-decaprenyl-diphosphate:isopentenyl-diphosphate undecaprenylcistransferase [c];0.0;low;1.0;0.0;
281;isopentadecanoyl-glycerol-3-phosphate O-acyltransferase [c];0.0;low;1.0;0.0;
282;L-Fuculose-1-phosphate lactaldehyde-lyase [c];0.0;low;1.0;0.0;
283;dodecanoyl-[acyl-carrier-protein]:malonyl-[acyl-carrier-protein] C-acyltransferase (decarboxylating) [c];0.0;moderate;0.0;0.0;0.6920181288816155
284;D-Proline:oxygen oxidoreductase [c];0.0;high;0.0;0.0;1.1957634559623151
285;xanthine:NAD+ oxidoreductase [c];0.0;low;1.0;0.0;
286;isocitrate glyoxylate-lyase (succinate-forming) [c];1.0;high;1.0;0.0;1.009872312247985
287;10-methyl-3-oxo-undecanoyl-ACP:NADP+ oxidoreductase [c];0.0;low;1.0;0.0;
288;R05612 [c];0.0;high;0.0;0.0;1.0722930193361673
289;(S)-dihydroorotate amidohydrolase [c];0.0;moderate;0.0;0.0;0.8236150080258733
290;acyl-CoA:sn-glycerol-3-phosphate 1-O-acyltransferase [c];0.0;low;1.0;0.0;
291;aminoacetone:oxygen oxidoreductase(deaminating) [c];0.0;moderate;0.0;0.0;0.1131887146968423
292;phosphate-transporting ATPase [c];45.0;low;0.0;0.0;
293;succinyl-CoA:enzyme N6-(dihydrolipoyl)lysine S-succinyltransferase [c];-1.0;high;0.0;1.0;1.0607403865721794
294;L-Homoserine:NAD+ oxidoreductase [c];-10.0;moderate;0.0;1.0;0.8150208892567992
295;L-Aspartate-4-semialdehyde:NADP+ oxidoreductase (phosphorylating) [c];-1.0;moderate;0.0;1.0;0.6478957997194335
296;(S)-malate:NAD+ oxidoreductase [c];11.0;high;1.0;0.0;1.0070494753585244
297;Lysophospholipase L2 (2-acylglycerophosphoethanolamine, n-C18:1) [c];0.0;low;1.0;0.0;
298;5-methyl-3-oxo-hexanoyl-ACP:NADP+ oxidoreductase [c];0.0;low;1.0;0.0;
299;ITP:cytidine 5'-phosphotransferase [c];-3.0;low;0.0;0.0;
300;GTP:cytidine 5'-phosphotransferase [c];0.0;low;1.0;0.0;
301;N2-Acetyl-L-ornithine:2-oxoglutarate aminotransferase [c];-35.636364;moderate;0.0;1.0;0.622092919846324
302;"L-Cysteine hydrogen-sulfide-lyase (deaminating; pyruvate-forming) [c]";234.63636;high;1.0;0.0;1.025955778056246
303;Uridine 5'-monophosphate phosphohydrolase [c];0.0;low;1.0;0.0;
304;R07602 [c];0.0;low;1.0;0.0;
305;Prephenate:NADP+ oxidoreductase(decarboxylating) [c];2.0;moderate;1.0;0.0;0.9422787830552546
306;ATP:riboflavin 5'-phosphotransferase [c];0.0;low;1.0;0.0;
307;D-glyceraldehyde-3-phosphate aldose-ketose-isomerase [c];1.0;moderate;1.0;0.0;0.2101737389409534
308;Sedoheptulose 1,7-bisphosphate D-glyceraldehyde-3-phosphate-lyase [c];0.0;moderate;0.0;0.0;0.2800563942349243
309;Isopentenyl-diphosphate delta3-delta2-isomerase [c];0.0;moderate;0.0;0.0;0.3834034901405525
310;beta-D-Glucose:NAD+ 1-oxoreductase [c];1.0;high;1.0;0.0;1.0566126502594884
311;nonpolar-amino-acid-transporting ATPase [c];4.0;moderate;1.0;0.0;0.6742547558652063
312;Undecaprenyl-diphospho-N-acetylmuramoyl-(N-acetylglucosamine)- [c];0.0;moderate;0.0;0.0;0.72725114796525
313;"5-aminolevulinate hydro-lyase (adding 5-aminolevulinate and cyclizing; porphobilinogen-forming) [c]";0.0;low;1.0;0.0;
314;myo-Inositol-1-phosphate synthase [c];0.0;high;0.0;0.0;1.3131768074582804
315;Acetyl-CoA:carbon-dioxide ligase (ADP-forming) [c];0.0;low;1.0;0.0;
316;RXN0-6983.c [c];0.0;moderate;0.0;0.0;0.4029379144930443
317;(S)-3-Hydroxytetradecanoyl-CoA:NAD+ oxidoreductase [c];0.0;high;0.0;0.0;1.3645114190594982
318;Acylamide aminohydrolase [c];0.0;low;1.0;0.0;
319;AMP,sulfite:thioredoxin-disulfide oxidoreductase(adenosine-5'-phosphosulfate-forming) [c];1.0;high;1.0;0.0;1.1188071244522702
320;10-methyl-trans-undec-2-enoyl-ACP:NAD+ oxidoreductase (A-specific) [c];0.0;low;1.0;0.0;
321;6-methyl-trans-hept-2-enoyl-ACP:NAD+ oxidoreductase (A-specific) [c];0.0;low;1.0;0.0;
322;ATP:pantetheine-4'-phosphate adenylyltransferase [c];0.0;low;1.0;0.0;
323;1-(5-phospho-D-ribosyl)-AMP 1,6-hydrolase [c];0.0;low;1.0;0.0;
324;S-Adenosyl-L-methionine:uroporphyrin-III C-methyltransferase [c];0.0;;;;
325;dTTP:alpha-D-glucose-1-phosphate thymidylyltransferase [c];0.0;high;0.0;0.0;1.0393942944941776
326;Lysophospholipase L2 (2-acylglycerophosphoethanolamine, n-C14:0) [c];0.0;low;1.0;0.0;
327;L-Isoleucine:2-oxoglutarate aminotransferase [c];0.0;moderate;0.0;0.0;0.1164336739075209
328;acetyl-CoA:acetoacetyl-CoA C-acetyltransferase (thioester-hydrolysing, carboxymethyl-forming) [c];0.0;low;1.0;0.0;
329;zinc transport via ABC system [c];0.0;low;1.0;0.0;
330;myristoyl-cardiolipin synthase [c];0.0;;;;
331;11-methyl-3-hydroxy-dodecanoyl-ACP hydro-lyase [c];0.0;moderate;0.0;0.0;0.1172338659109856
332;L-Phenylalanine,tetrahydrobiopterin:oxygen oxidoreductase (4-hydroxylating) [c];0.0;;;;
333;(S)-3-Hydroxyhexadecanoyl-CoA hydro-lyase [c];0.0;low;1.0;0.0;
334;Guanylate kinase [c];2.0;moderate;1.0;0.0;0.8527012222056509
335;(R)-Mevalonate:NADP+ oxidoreductase (CoA acylating) [c];0.0;moderate;0.0;0.0;0.0572643892963629
336;L-glutamine:D-fructose-6-phosphate isomerase (deaminating) [c];0.0;low;1.0;0.0;
337;5-amino-6-(D-ribitylamino)uracil butanedionetransferase [c];0.0;moderate;0.0;0.0;0.1153357227425514
338;isohexadecanoyl-phosphatidylserine decarboxylase [c];0.0;low;1.0;0.0;
339;acyl-CoA dehydrogenase (octanoyl-CoA) [c];-1.0;moderate;0.0;1.0;0.5276378124934911
340;methionyl aminopeptidase [c];0.0;moderate;0.0;0.0;0.4029379144930443
341;ATP:pyruvate,water phosphotransferase [c];7.0;;;;
342;L-threonine ammonia-lyase (2-oxobutanoate-forming) [c];0.0;moderate;0.0;0.0;0.6261118320733925
343;Lysophospholipase L2 (2-acylglycerophosphoethanolamine, n-C18:0) [c];0.0;low;1.0;0.0;
344;Chorismate pyruvatemutase [c];3.0;low;0.0;0.0;
345;UTP:alpha-D-glucose-1-phosphate uridylyltransferase [c];1.0;moderate;1.0;0.0;0.542971308026965
346;(S)-4-Amino-5-oxopentanoate 4,5-aminomutase [c];0.0;low;1.0;0.0;
347;D-ribose-5-phosphate aldose-ketose-isomerase [c];-1.0;low;0.0;0.0;
348;ATP phosphohydrolase (polar-amino-acid-importing) [c];0.0;moderate;0.0;0.0;0.5811005947650799
349;Shikimate:NADP+ 3-oxidoreductase [c];-3.0;;;;
350;Deamido-NAD+:L-glutamine amido-ligase (AMP-forming) [c];1.0;high;1.0;0.0;1.0393862367974311
351;Decanoyl-[acyl-carrier protein]:malonyl-CoA C-acyltransferase(decarboxylating, oxoacyl- and enoyl-reducing) [c];0.0;low;1.0;0.0;
352;ATP:deoxyguanosine 5'-phosphotransferase [c];0.0;low;1.0;0.0;
353;sucrose transport via PEP:Pyr PTS [c];0.0;moderate;0.0;0.0;0.0772462869039078
354;ATP:D-tagatose-6-phosphate 1-phosphotransferase [c];0.0;low;1.0;0.0;
355;Lysophospholipase L1 (2-acylglycerophosphotidate, n-C18:0) (periplasm) [c];0.0;low;1.0;0.0;
356;4-Guanidinobutanamide amidohydrolase [c];0.0;low;1.0;0.0;
357;"phosphate:oxaloacetate carboxy-lyase (adding phosphate;phosphoenolpyruvate-forming) [c]";0.0;low;1.0;0.0;
358;AMP:diphosphate phospho-D-ribosyltransferase [c];0.0;low;1.0;0.0;
359;5-phosphoribosylamine:diphosphate phospho-alpha-D-ribosyltransferase (glutamate-amidating) [c];0.0;low;1.0;0.0;
360;3-hydroxyacyl-[acyl-carrier-protein] dehydratase (n-C12:1) [c];0.0;moderate;0.0;0.0;0.1172338659109856
361;ATP:GDP phosphotransferase [c];10.0;high;1.0;0.0;1.1253177243083452
362;Uridine triphosphate pyrophosphohydrolase [c];1.0;moderate;1.0;0.0;0.8170763302387419
363;Geranylgeranyl-diphosphate:geranylgeranyl-diphosphate geranylgeranyltransferase [c];0.0;moderate;0.0;0.0;0.0752048691387205
364;isohexadecanoyl-cardiolipin synthase [c];0.0;;;;
365;CDP-diacylglycerol synthetase (n-C18:0) [c];0.0;low;1.0;0.0;
366;N-(5'-Phospho-D-ribosylformimino)-5-amino-1- (5''-phospho-D-ribosyl)-4-imidazolecarboxamide ketol-isomerase [c];0.0;low;1.0;0.0;
367;isohexadecanoyl-CDPdiacylglycerol:sn-glycerol-3-phosphate 3-phosphatidyltransferase [c];0.0;low;1.0;0.0;
368;2,5-Diaminopyrimidine nucleoside triphosphate mutase [c];0.0;low;1.0;0.0;
369;anteisoheptadecanoyl-CDPdiacylglycerol-serine O-phosphatidyltransferase [c];0.0;low;1.0;0.0;
370;thymidine:phosphate deoxy-alpha-D-ribosyltransferase [c];0.0;high;0.0;0.0;1.006478319868326
371;(3R)-3-Hydroxypalmitoyl-[acyl-carrier-protein]:NADP+ oxidoreductase [c];0.0;low;1.0;0.0;
372;Phosphatidylserine syntase (n-C18:0) [c];0.0;low;1.0;0.0;
373;Succinate:CoA ligase (ADP-forming) [c];-415.27273;high;0.0;1.0;1.0134162609959811
374;L-glutamate:NAD+ oxidoreductase (deaminating) [c];0.0;low;1.0;0.0;
375;Galactitol transport via PEP:Pyr PTS [c];0.0;moderate;0.0;0.0;0.0772462869039078
376;4-imidazolone-5-propanoate amidohydrolase [c];0.0;low;1.0;0.0;
377;Adenosine 5'-monophosphate phosphohydrolase [c];2.0;low;0.0;0.0;
378;L-Valine:NAD+ oxidoreductase(deaminating) [c];0.0;low;1.0;0.0;
379;murein D,D-carboxypeptidase (murein5p4p) (periplasm) [c];0.0;low;1.0;0.0;
380;Biotinyl-5'-AMP:apo-[carboxylase] ligase (AMP-forming) [c];0.0;moderate;0.0;0.0;0.0107809095562142
381;UTP:uridine 5'-phosphotransferase [c];0.0;low;1.0;0.0;
382;glycogen synthase (ADPGlc) [c];0.0;low;1.0;0.0;
383;Lysophospholipase L1 (2-acylglycerophosphoglycerol, n-C18:0) (periplasm) [c];0.0;low;1.0;0.0;
384;ATP:L-methionine S-adenosyltransferase [c];0.0;high;0.0;0.0;1.0023686722853544
385;ATP:deoxyuridine 5'-phosphotransferase [c];0.0;moderate;0.0;0.0;0.0593556005632458
386;Gly-Cys aminopeptidase [c];234.63636;moderate;1.0;0.0;0.4029379144930443
387;Lysophospholipase L1 (2-acylglycerophosphotidate, n-C14:1) (periplasm) [c];0.0;low;1.0;0.0;
388;apolipoprotein N-acyltransferase (phosphatidylethanolamine, periplasm) [c];0.0;moderate;0.0;0.0;0.0609153238697856
389;CDP-diacylglycerol synthetase (n-C12:0) [c];0.0;low;1.0;0.0;
390;Lysophospholipase L2 (2-acylglycerophosphotidate, n-C16:1) [c];0.0;low;1.0;0.0;
391;superoxide:superoxide oxidoreductase [c];0.0;high;0.0;0.0;1.0492697074716535
392;14-methyl-3-hydroxy-hexa-decanoyl-ACP hydro-lyase [c];0.0;moderate;0.0;0.0;0.1172338659109856
393;acetyl-CoA:enzyme N6-(dihydrolipoyl)lysine S-acetyltransferase [c];-871.18182;low;0.0;0.0;
394;(3R)-3-Hydroxydodecanoyl-[acyl-carrier-protein]:NADP+ oxidoreductase [c];0.0;low;1.0;0.0;
395;Succinyl-CoA:3-oxoadipate CoA-transferase [c];0.0;moderate;0.0;0.0;0.7080632937215048
396;L-arginine carboxy-lyase (agmatine-forming) [c];0.0;high;0.0;0.0;1.0490703260432537
397;coproporphyrinogen-III:S-adenosyl-L-methionine oxidoreductase(decarboxylating) [c];0.0;high;0.0;0.0;1.2381585096959735
398;GTP 7,8-8,9-dihydrolase [c];0.0;low;1.0;0.0;
399;glycerol-3-phosphate acyltransferase (C12:0) [c];0.0;low;1.0;0.0;
400;Choline sulfate sulfohydrolase [c];0.0;low;1.0;0.0;
401;7-methyl-3-oxo-octanoyl-ACP:NADP+ oxidoreductase [c];0.0;low;1.0;0.0;
402;aldehyde dehydrogenase (aminoacetaldehyde, NAD) [c];0.0;low;1.0;0.0;
403;ATP:4-amino-5-hydroxymethyl-2-methylpyrimidine 5-phosphotransferase [c];0.0;moderate;0.0;0.0;0.1218518918899405
404;Acetyl-CoA:maltose O-acetyltransferase [c];0.0;high;0.0;0.0;1.0659144570126586
405;RXN0-6976.c [c];0.0;moderate;0.0;0.0;0.393883688328182
406;UDP-2,3-bis(3-hydroxytetradecanoyl)glucosamine:2,3-bis-(3-hydroxytetradecanoyl)-alpha-D-glucosaminyl-1-phosphate 2,3-bis(3-hydroxytetradecanoyl)-glucosaminyltransferase [c];0.0;low;1.0;0.0;
407;Butanoyl-CoA:acetate CoA-transferase [c];2.0;moderate;1.0;0.0;0.5124047861592694
408;"prephenate hydro-lyase (decarboxylating; phenylpyruvate-forming) [c]";0.0;low;1.0;0.0;
409;L-Cysteine:2-oxoglutarate aminotransferase [c];0.0;low;1.0;0.0;
410;UDP-L-rhamnose:flavonol-3-O-D-glucoside L-rhamnosyltransferase [c];0.0;high;0.0;0.0;1.021121908947215
411;apolipoprotein N-acyltransferase (phosphatidylglycerol, periplasm) [c];0.0;moderate;0.0;0.0;0.0609153238697856
412;Cytidine-5'-monophosphate phosphohydrolase [c];0.0;low;1.0;0.0;
413;Amylomaltase (maltopentaose) [c];0.0;low;1.0;0.0;
414;ferrichrome transport via ABC system [c];0.0;low;1.0;0.0;
415;Nicotinamide ribonucleotide phosphohydrolase [c];0.0;low;1.0;0.0;
416;RXN0-6979.c [c];0.0;moderate;0.0;0.0;0.4029379144930443
417;D-methionine transport via ABC system [c];0.0;high;0.0;0.0;1.155985643212354
418;dUTP:cytidine 5'-phosphotransferase [c];0.0;low;1.0;0.0;
419;5-carboxymethyl-2-hydroxymuconic-semialdehyde:NAD+ oxidoreductase [c];0.0;low;1.0;0.0;
420;UDP-N-acetylmuramoyl-L-alanyl-D-gamma-glutamyl-meso-2,6-diaminopimelate-D-alanine L,D-carboxypeptidase [c];0.0;low;1.0;0.0;
421;2-succinyl-6-hydroxy-2,4-cyclohexadiene-1-carboxylate synthase [c];0.0;high;0.0;0.0;1.064641173873817
422;ATP:L-homoserine O-phosphotransferase [c];0.0;low;1.0;0.0;
423;succinyl-CoA:L-arginine N2-succinyltransferase [c];0.0;moderate;0.0;0.0;0.3532616372808992
424;CTP:pyruvate 2-O-phosphotransferase [c];1.0;low;0.0;0.0;
425;L-Lysine 2,3-aminomutase [c];0.0;moderate;0.0;0.0;0.274874271267583
426;D-fructose-1,6-bisphosphate D-glyceraldehyde-3-phosphate-lyase (glycerone-phosphate-forming) [c];-1.0;moderate;0.0;1.0;0.2800563942349243
427;Phosphatidylserine decarboxylase (n-C12:0) [c];0.0;low;1.0;0.0;
428;"O-Succinyl-L-homoserine succinate-lyase (deaminating; 2-oxobutanoate-forming) [c]";0.0;low;1.0;0.0;
429;ATP:3-phospho-D-glycerate 1-phosphotransferase [c];4.0;high;1.0;0.0;1.0285566301751616
430;IMP:L-aspartate ligase (GDP-forming) [c];3.0;low;0.0;0.0;
431;carbonate hydro-lyase (carbon-dioxide-forming) [c];0.0;low;1.0;0.0;
432;Inosine 5'-monophosphate phosphohydrolase [c];0.0;low;1.0;0.0;
433;methionyl aminopeptidase [c];0.0;moderate;0.0;0.0;0.4029379144930443
434;1D-myo-Inositol 3-phosphate phosphohydrolase [c];0.0;low;1.0;0.0;
435;5-O-(1-Carboxyvinyl)-3-phosphoshikimate phosphate-lyase (chorismate-forming) [c];3.0;moderate;1.0;0.0;0.4136569330936196
436;acyl-CoA dehydrogenase (tetradecanoyl-CoA) [c];0.0;moderate;0.0;0.0;0.5276378124934911
437;15-methyl-3-hydroxy-hexa-decanoyl-ACP hydro-lyase [c];0.0;moderate;0.0;0.0;0.1172338659109856
438;myristoyl-lipoteichoic acid synthesis (n=24), linked, glucose substituted [c];0.0;high;0.0;0.0;1.1015221062842442
439;Protein synthesis;0.0;low;1.0;0.0;
440;"uracil hydro-lyase (adding D-ribose 5-phosphate;pseudouridine-5'-phosphate-forming) [c]";0.0;moderate;0.0;0.0;0.9085116285139188
441;FACOAL170(anteiso) [c];0.0;low;1.0;0.0;
442;Coenzyme B:coenzyme M:methanophenazine oxidoreductase [c];0.0;low;1.0;0.0;
443;N-Acetyl-D-glucosamine transport via PEP:Pyr PTS [c];0.0;moderate;0.0;0.0;0.0772462869039078
444;UDP-glucose 4-epimerase [c];0.0;low;1.0;0.0;
445;5,10-Methenyltetrahydrofolate 5-hydrolase (decyclizing) [c];0.0;low;1.0;0.0;
446;L-tyrosine:2-oxoglutarate aminotransferase [c];0.0;low;1.0;0.0;
447;Butyryl-[acyl-carrier protein]:malonyl-CoA C-acyltransferase(decarboxylating, oxoacyl- and enoyl-reducing) [c];0.0;low;1.0;0.0;
448;Butyro-betaine ABC transport [c];0.0;high;0.0;0.0;1.2004691145508488
449;Gly-Cys ABC transporters [c];234.63636;low;0.0;0.0;
450;ATP phosphohydrolase (polar-amino-acid-importing) [c];0.0;moderate;0.0;0.0;0.5811005947650799
451;biotin:CoA ligase (AMP-forming) [c];0.0;moderate;0.0;0.0;0.0107809095562142
452;Lysophospholipase L1 (2-acylglycerophosphoethanolamine, n-C14:0) (periplasm) [c];0.0;low;1.0;0.0;
453;fatty-acid-CoA thioesterase (tetradecenoate) [c];0.0;moderate;0.0;0.0;0.0561541555000128
454;14-methyl-3-oxo-pentadecanoyl-ACP:NADP+ oxidoreductase [c];0.0;low;1.0;0.0;
455;ATP:N-acetyl-L-glutamate 5-phosphotransferase [c];35.636364;high;1.0;0.0;1.2469438300143807
456;anteisopentadecanoyl-phosphatidylserine decarboxylase [c];0.0;low;1.0;0.0;
457;fumarate reductase [c];-1.0;high;0.0;1.0;1.1127416630843
458;arbutin transport via PEP:Pyr PTS [c];0.0;moderate;0.0;0.0;0.0772462869039078
459;Decanoyl-CoA:(acceptor) 2,3-oxidoreductase [c];1.0;moderate;1.0;0.0;0.5276378124934911
460;ATP:dGMP phosphotransferase [c];1.0;moderate;1.0;0.0;0.8527012222056509
461;UDP-N-acetylmuramoyl-L-alanyl-D-glutamate:(L)-meso-2,6-diaminoheptanedioate gamma-ligase (ADP-forming) [c];0.0;high;0.0;0.0;1.050184631051418
462;guanosine:phosphate alpha-D-ribosyltransferase [c];2.0;moderate;1.0;0.0;0.9850810312058436
463;fumarate reductase [c];1.0;high;1.0;0.0;1.1127416630843
464;Thymidylate 5'-phosphohydrolase [c];0.0;low;1.0;0.0;
465;polyphosphate kinase [c];0.0;low;1.0;0.0;
466;Phosphatidylserine syntase (n-C12:0) [c];0.0;low;1.0;0.0;
467;dTDP-6-deoxy-L-mannose:NADP+ 4-oxidoreductase [c];0.0;low;1.0;0.0;
468;ATP:D-glycero-beta-D-manno-heptose 1-phosphate adenylyltransferase [c];0.0;moderate;0.0;0.0;0.0650703694975807
469;6-methyl-3-oxo-octanoyl-ACP:NADP+ oxidoreductase [c];0.0;low;1.0;0.0;
470;Phosphatidylserine decarboxylase (n-C16:1) [c];0.0;low;1.0;0.0;
471;Nicotinamide-D-ribonucleotide amidohydrolase [c];2.0;low;0.0;0.0;
472;Succinate-semialdehyde:NAD+ oxidoreductase [c];0.0;moderate;0.0;0.0;0.7969907151915673
473;NADH dehydrogenase (ubiquinone-8 & 3.5 protons) [c];0.0;low;1.0;0.0;
474;L-Glutamate:ammonia ligase (ADP-forming) [c];5.0;moderate;1.0;0.0;0.72725114796525
475;L-Kynurenine hydrolase [c];0.0;moderate;0.0;0.0;0.0267473089258885
476;Lysophospholipase L2 (2-acylglycerophosphoglycerol, n-C18:0) [c];0.0;low;1.0;0.0;
477;(R)-Lactate:NAD+ oxidoreductase [c];21.0;high;1.0;0.0;1.349696089588361
478;aldehyde dehydrogenase (glyoxylate, NAD) [c];0.0;low;1.0;0.0;
479;ATP:D-ribose 5-phosphotransferase [c];4.0;low;0.0;0.0;
480;Lysophospholipase L1 (2-acylglycerophosphoglycerol, n-C14:1) (periplasm) [c];0.0;low;1.0;0.0;
481;hydrogen-peroxide:hydrogen-peroxide oxidoreductase [c];-582.15909;high;0.0;1.0;1.4472658136980656
482;ATP:2-amino-4-hydroxy-6-hydroxymethyl-7,8-dihydropteridine 6'-pyrophosphotransferase [c];0.0;low;1.0;0.0;
483;(3R)-3-Hydroxydecanoyl-[acyl-carrier-protein]:NADP+ oxidoreductase [c];0.0;low;1.0;0.0;
484;R04558 [c];0.0;low;1.0;0.0;
485;CDP-diacylglycerol synthetase (n-C16:1) [c];0.0;low;1.0;0.0;
486;GMP:diphosphate 5-phospho-alpha-D-ribosyltransferase [c];-1.0;moderate;0.0;1.0;0.3898677690208935
487;Imidazole acetaldehyde:NAD+ oxidoreductase [c];0.0;low;1.0;0.0;
488;beta-D-Glucose 1-phosphate 1,6-phosphomutase [c];0.0;moderate;0.0;0.0;0.968809751732624
489;dTTP:cytidine 5'-phosphotransferase [c];0.0;low;1.0;0.0;
490;3-Hydroxyanthranilate:oxygen 3,4-oxidoreductase (decyclizing) [c];0.0;low;1.0;0.0;
491;anteisopentadecanoyl-phosphatidate cytidylyltransferase [c];0.0;low;1.0;0.0;
492;(3R)-3-Hydroxyhexanoyl-[acyl-carrier-protein]:NADP+ oxidoreductase [c];0.0;low;1.0;0.0;
493;Butanoyl-CoA:acetoacetate CoA-transferase [c];-1.0;moderate;0.0;1.0;0.5124047861592694
494;5-Formyltetrahydrofolate cyclo-ligase (ADP-forming) [c];0.0;low;1.0;0.0;
495;"L-serine hydro-lyase (adding indole; L-tryptophan-forming) [c]";0.0;low;1.0;0.0;
496;1-(5-Phosphoribosyl)-5-amino-4-carboxyimidazole:L-aspartate ligase (ADP-forming) [c];0.0;moderate;0.0;0.0;0.1566086577319195
497;N-Acetyl-D-glucosamine(anhydrous)N-Acetylmuramyl-tripeptide amidase (periplasm) [c];0.0;low;1.0;0.0;
498;Farnesyl diphosphate:Isopentenyl diphosphate farnesyl cistransferase [c];0.0;low;1.0;0.0;
499;12-methyl-3-oxo-tetra-decanoyl-ACP:NADP+ oxidoreductase [c];0.0;low;1.0;0.0;
500;Glutaryl-CoA:(acceptor) 2,3-oxidoreductase (decarboxylating) [c];0.0;low;1.0;0.0;
501;ITP:D-Tagatose 6-phosphate 1-phosphotransferase [c];0.0;low;1.0;0.0;
502;D-Ribulose-5-phosphate 3-epimerase [c];-1.0;;;;
503;3-Isopropylmalate hydro-lyase [c];0.0;moderate;0.0;0.0;0.0990825085519729
504;3-Isopropylmalate:NAD+ oxidoreductase [c];0.0;moderate;0.0;0.0;0.0280884879399533
505;isohexadecanoyl-Diacylglycerol kinase [c];0.0;moderate;0.0;0.0;0.1463420475613635
506;"ATP:(R)-5-diphosphomevalonate carboxy-lyase (adding ATP; isopentenyl-diphosphate-forming) [c]";0.0;moderate;0.0;0.0;0.8690501275855355
507;Lysophospholipase L2 (2-acylglycerophosphoglycerol, n-C14:1) [c];0.0;low;1.0;0.0;
508;ATP phosphohydrolase (disaccharide-importing) [c];0.0;low;1.0;0.0;
509;XMP:pyrophosphate phosphoribosyltransferase [c];0.0;low;1.0;0.0;
510;L-histidinal:NAD+ oxidoreductase [c];0.0;low;1.0;0.0;
511;Phosphatidylglycerol synthase (n-C18:0) [c];0.0;low;1.0;0.0;
512;UMP:diphosphate phospho-alpha-D-ribosyltransferase [c];0.0;low;1.0;0.0;
513;diacylglycerol kinase (n-C18:0) [c];0.0;moderate;0.0;0.0;0.1463420475613635
514;RXN0-5061.c [c];0.0;low;1.0;0.0;
515;Adenosine:phosphate alpha-D-ribosyltransferase [c];1.0;moderate;1.0;0.0;0.9850810312058436
516;Nicotinate-nucleotide:pyrophosphate phosphoribosyltransferase (carboxylating) [c];0.0;low;1.0;0.0;
517;ATP:(R)-mevalonate 5-phosphotransferase [c];0.0;moderate;0.0;0.0;0.8242998550924422
518;Malonyl-CoA:[acyl-carrier-protein] S-malonyltransferase [c];0.0;low;1.0;0.0;
519;Gly-Leu aminopeptidase [c];0.0;moderate;0.0;0.0;0.4029379144930443
520;Lysophospholipase L2 (2-acylglycerophosphotidate, n-C16:0) [c];0.0;low;1.0;0.0;
521;Heme transport via ABC system [c];0.0;low;1.0;0.0;
522;14-methyl-3-oxo-hexa-decanoyl-ACP:NADP+ oxidoreductase [c];0.0;low;1.0;0.0;
523;Acyl-[acyl-carrier-protein]:malonyl-[acyl-carrier-protein] C-acyltransferase (decarboxylating) [c];0.0;moderate;0.0;0.0;0.6920181288816155
524;L-methionine:oxidized-thioredoxin S-oxidoreductase [c];4.0;high;1.0;0.0;1.0566126502594884
525;Amylomaltase (maltotriose) [c];0.0;low;1.0;0.0;
526;(3S)-3,6-Diaminohexanoate 5,6-aminomutase [c];0.0;moderate;0.0;0.0;0.4069543781377219
527;Undecaprenyl-diphospho-N-acetylmuramoyl-(N-acetylglucosamine)-L-alanyl-gamma-D-glutamyl-L-lysyl-D-alanyl-D-alanine:ammonia ligase (ADP-forming) [c];0.0;moderate;0.0;0.0;0.72725114796525
528;glycerol-3-phosphate acyltransferase (C14:0) [c];0.0;low;1.0;0.0;
529;acyl-CoA dehydrogenase (hexadecanoyl-CoA) [c];-1.0;moderate;0.0;1.0;0.5276378124934911
530;Acetyl-CoA:L-homoserine O-acetyltransferase [c];0.0;low;1.0;0.0;
531;Carbon-dioxide:ammonia ligase (ADP-forming,carbamate-phosphorylating) [c];0.0;high;0.0;0.0;1.1457030620342332
532;1,4-dihydroxy-2-naphthoyl-CoA hydrolase [c];0.0;high;0.0;0.0;1.100616466605832
